Year,Collection_Date,Community,Sample_Type,Vegetation_Type,Percent_Cover_Total,Percent_Cover_Shrub,Percent_Cover_Herb,Percent_Cover_Carpet,Average_Height_Dominant_(cm),Average_Height_Tree_cm,Average_Height_Shrub_cm,Average_Height_Herb_cm,Average_Height_Carpet_cm,Scientific_Name,Common_Name,Percent_Cover,In_Out,Number_Planted,Number_Alive,Additional_Species_Description,Organization,Personnel,Comments
2012,7/30/12,Saline,Transect,Natural,85,80,5,,123.13,,121.92,42.67,,Avicennia germinans (L.) L.,black mangrove,85,Both,,,80% shrub; 5% herbaceous ,COASTAL ESTUARY SERVICES LLC,J. Smith; A. Dufrene,Water Level is 0.1 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2008,8/14/08,Saline,Transect,Natural,85,,85,,66.44,,,60.96,,Avicennia germinans (L.) L.,black mangrove,20,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; E. Bourg,Water Level is Below Marsh.
2012,7/30/12,Saline,Transect,Natural,85,20,85,,68.27,,76.2,76.2,,Avicennia germinans (L.) L.,black mangrove,25,Both,,,20% shrub;5% herbaceous,COASTAL ESTUARY SERVICES LLC,J. Smith; A. Dufrene,Water Level is 0.3 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2011,8/4/11,Saline,Transect,Natural,85,85,,,136.91,,137.16,,,Avicennia germinans (L.) L.,black mangrove,85,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,J. Smith; A. Dufrene,Water Level is below marsh.
2015,8/11/15,Saline,Transect,Natural,85,55,30,,155.69,,103.63,47.24,,Avicennia germinans (L.) L.,black mangrove,85,Both,,,55% shrub; 30% herbaceous,COASTAL ESTUARY SERVICES LLC,A. Hingle; K.B. Duhon; B. Lussier, Water Level is 0.4 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2008,8/14/08,Saline,Transect,Natural,85,40,70,,140.81,,182.88,121.92,,Avicennia germinans (L.) L.,black mangrove,85,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; E. Bourg,some note as V62. Water Level is Below Marsh.
2011,8/4/11,Saline,Transect,Natural,85,25,70,,114.9,,128.01,91.44,,Avicennia germinans (L.) L.,black mangrove,25,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Smith,Water Level is below marsh.
2013,8/8/13,Saline,Transect,Natural,85,40,45,,156.46,,137.16,76.2,,Avicennia germinans (L.) L.,black mangrove,70,Both,,,40PERCENT SHRUB,COASTAL ESTUARY SERVICES LLC,A. Hafkesbring; D. Wheat,No PW at 30cm; sipper malfunction Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2014,8/13/14,Saline,Transect,Natural,85,,85,,50.04,,,53.64,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K.B. Duhon; C. Hymel; J.C. Mattingly,Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2012,7/6/12,Saline,Transect,Natural,85,5,85,,76.44,,94.48,60.96,,Avicennia germinans (L.) L.,black mangrove,5,Both,,,Shrub,COASTAL ESTUARY SERVICES LLC,C. Hymel; A. Hafkesbring; E. Bourg,Water Level is 0.1 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2017,9/20/17,Saline,Transect,Natural,85,,85,,101.86,,,77.72,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier; C. McCulla,3% wrack in plot Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 2%. Flooded-Undetermined is 0%.
2017,9/20/17,Saline,Transect,Natural,85,,85,,87.72,,,80.77,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier; C. McCulla, Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 1%. Flooded-Undetermined is 0%.
2017,9/20/17,Saline,Transect,Natural,85,,85,,139.65,,,109.72,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier; C. McCulla, Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 1%. Flooded-Undetermined is 0%.
2017,9/20/17,Saline,Transect,Natural,85,,85,,78.88,,,70.1,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier; C. McCulla, Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 1%. Flooded-Undetermined is 0%.
2007,8/21/07,Saline,Transect,Natural,85,80,,10,137.2,,137.2,,36.6,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,M. Estay; T. Nguyen,Bare Ground.; Water Level is Below Marsh
2016,8/30/16,Saline,Transect,Natural,85,65,25,,214.37,,182.88,106.68,,Avicennia germinans (L.) L.,black mangrove,,Out,,,shrub,COASTAL ESTUARY SERVICES LLC,D. McWhorter; A. Dufrene; W.P. Brown, Water Level is 0.7 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2017,8/21/17,Saline,Transect,Natural,85,70,30,,166.42,,152.4,91.44,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; S. Giles; W.P. Brown,approximately 10 ft from bay. Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 10%. Flooded-Undetermined is 0%.
2009,7/20/09,Saline,Transect,Natural,85,2,85,,30.96,,152.4,30.48,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,J. Dunn; B. Rhodes; E. Bourg,Water Level is below marsh.
2011,8/3/11,Saline,Transect,Natural,85,60,50,,97.53,,112.77,51.81,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,T. Nguyen; H. Bernard,Water Level is below marsh.
2008,8/20/08,Saline,Transect,Natural,85,60,45,,121.92,,121.92,60.96,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,,COASTAL ESTUARY SERVICES LLC,H. Bernard; T. Nguyen,Water Level is Below Marsh. Bare Ground is unvegetated surface.
2008,8/20/08,Saline,Transect,Natural,85,1,85,,84.42,,48.76,70.1,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,,COASTAL ESTUARY SERVICES LLC,H. Bernard; T. Nguyen,Bare Ground is unvegetated surface.
2008,8/20/08,Saline,Transect,Natural,85,,85,,92.72,,,64,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Bernard; T. Nguyen,Bare Ground is unvegetated surface.
2006,6/6/06,Saline,Transect,Natural,85,,85,,20,,,20,,Avicennia germinans (L.) L.,black mangrove,2,Both,,,,LA DEPT OF NAT RES (CRDT),S. Khalil; B. Landry; B. Martin; D. Lee,Damp sand; not flooded (-1.5 ft)
2006,6/6/06,Saline,Transect,Natural,85,,85,,25,,,25,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),D. Lee; S. Khalil; B. Martin; B. Landry,Damp sand; not flooded (-1.5 ft)
2013,10/16/13,Saline,Transect,Natural,85,,85,,113.6,,,100,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,,COASTAL PROTECTION AND RESTORATION AUTHORITY,L. Rodrigue; G. Curole; E. Lear; T. Hubbell,Barrier island.
2001,4/18/01,Saline,Random,Planted,80,,80,,20,,,20,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
2003,10/20/03,Saline,Random,Natural,80,,80,,33,,,33,,Avicennia germinans (L.) L.,black mangrove,<1,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; J. West; E. Lear,
2002,9/18/02,Saline,Random,Planted,80,0.01,80,,87,,75,87,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,Spartina alterniflora indeterminate.
2003,10/20/03,Saline,Random,Planted,80,,80,,137,,,137,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2003,10/20/03,Saline,Random,Natural,80,<1,80,,162,,82,162,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2002,9/18/02,Saline,Random,Natural,80,0.01,80,,46,,68,46,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,
2003,10/20/03,Saline,Random,Natural,80,<1,80,,152,,135,152,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2013,10/28/13,Saline,Transect,Natural,80,,80,,65.83,,,51.81,,Avicennia germinans (L.) L.,black mangrove,2,Both,,,,COASTAL ESTUARY SERVICES LLC,R. Villani; C. Izdepski,Water Level is below marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2007,8/30/07,Saline,Transect,Natural,80,2,80,,85,,103,90,,Avicennia germinans (L.) L.,black mangrove,2,Both,,,,COASTAL ESTUARY SERVICES LLC,F. Stcyr; C. Cheramie,Water 0.2ft above marsh
2012,7/31/12,Saline,Transect,Natural,80,,80,,106.07,,,100.58,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K. Lew; H. Arnold; C. Plaisance,Water Level is 0.8 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2012,7/31/12,Saline,Transect,Natural,80,,80,,100.58,,,88.39,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K. Lew; H. Arnold; C. Plaisance,Water Level is 0.8 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2012,7/27/12,Saline,Transect,Natural,80,,80,,99.97,,,79.24,,Avicennia germinans (L.) L.,black mangrove,,Out,,,Dr. Urbatsch ID,COASTAL ESTUARY SERVICES LLC,F. Gilmore; D. Plaisance; C. Plaisance,"Iva frutescens in area, may be unk #1, too small to tell Water Level is below marsh. Open water is 0%. Bare ground is 0%. Dead vegetation is 0%. Flooded-Undetermined is 20%."
2013,8/8/13,Saline,Transect,Natural,80,,80,,108.63,,,76.2,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,P. Vining; A. Dufrene; B. Miller,Water Level is below marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2009,7/16/09,Saline,Transect,Natural,80,,80,,61.26,,,60.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,J. Smith; A. Dufrene; J. Viola,Water Level is below marsh.
2016,9/2/16,Saline,Transect,Natural,80,,80,,87.23,,,87.47,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,D.J. Sires; B. Lussier; M. McGaw, Water Level is 1.05 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2012,8/3/12,Saline,Transect,Natural,80,,80,,61.87,,,51.81,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; B. Lussier,Water Level is below marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2017,9/14/17,Saline,Transect,Natural,80,,80,,89.61,,,65.53,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,Herbaceous,COASTAL ESTUARY SERVICES LLC,S. Giles; B. Lussier; M. McGaw,Dead veg overlapping live veg Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2017,9/14/17,Saline,Transect,Natural,80,,80,,89.97,,,67.05,,Avicennia germinans (L.) L.,black mangrove,2,Both,,,Herbaceous,COASTAL ESTUARY SERVICES LLC,S. Giles; B. Lussier; M. McGaw, Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 2%. Flooded-Undetermined is 0%.
2010,6/16/10,Saline,Transect,Natural,80,,80,,84.79,,,85.34,,Avicennia germinans (L.) L.,black mangrove,20,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Dunn; E. Bourg,Water Level is 0.39 ft above marsh.
2010,6/16/10,Saline,Transect,Natural,80,,80,,66.99,,,60.96,,Avicennia germinans (L.) L.,black mangrove,5,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Dunn; E. Bourg,Water Level is 0.5 ft above marsh.
2013,8/8/13,Saline,Transect,Natural,80,15,80,,95.7,,146.3,91.44,,Avicennia germinans (L.) L.,black mangrove,55,Both,,,15 PERCENT SHRUB,COASTAL ESTUARY SERVICES LLC,A. Hafkesbring; D. Wheat,No PW; sipper malfunction Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2006,9/18/06,Saline,Transect,Natural,80,80,,,181.1,,152.4,,,Avicennia germinans (L.) L.,black mangrove,80,Both,,,,COASTAL ESTUARY SERVICES LLC,M. Sevier; G. Jacob,
2015,8/11/15,Saline,Transect,Natural,80,75,5,,167.88,,158.49,45.41,,Avicennia germinans (L.) L.,black mangrove,80,Both,,,75% shrub; 5% herbaceous,COASTAL ESTUARY SERVICES LLC,A. Hingle; K.B. Duhon; B. Lussier, Water Level is 0.15 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,9/2/16,Saline,Transect,Natural,80,80,,,144.78,,152.4,,,Avicennia germinans (L.) L.,black mangrove,80,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,D.J. Sires; B. Lussier; M. McGaw,Plot is 5ft from open water. Avicennia germinans marsh is broken. Water Level is 1 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2012,7/30/12,Saline,Transect,Natural,80,25,55,,87.9,,91.44,60.96,,Avicennia germinans (L.) L.,black mangrove,30,Both,,,25% shrub; 5% herbaceous ,COASTAL ESTUARY SERVICES LLC,J. Smith; A. Dufrene,Water Level is 0.15 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 10%. Flooded-Undetermined is 0%.
2017,9/20/17,Saline,Transect,Natural,80,,80,,63.52,,,41.14,,Avicennia germinans (L.) L.,black mangrove,<1,In,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier; C. McCulla, Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2017,9/20/17,Saline,Transect,Natural,80,,80,,78.63,,,56.38,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier; C. McCulla,Many Spartina alterniflora flowering Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 20%. Flooded-Undetermined is 0%.
2006,9/21/06,Saline,Transect,Natural,80,,80,,88.4,,,70.1,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,G. Jacob; M. Sevier,
2015,7/8/15,Saline,Transect,Natural,80,,80,,81.8,,,73.15,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Hymel; A. Hingle; J.C. Mattingly,marsh dry Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 10%. Flooded-Undetermined is 0%.
2017,9/20/17,Saline,Transect,Natural,80,,80,,103.14,,,83.82,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier; C. McCulla,Plot adjacent to open water Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 1%. Flooded-Undetermined is 0%.
2012,7/6/12,Saline,Transect,Natural,80,45,55,,115.21,,109.72,45.72,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Hymel; A. Hafkesbring; E. Bourg,Water Level is 0.5 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,8/29/13,Saline,Transect,Natural,80,25,70,,40.29,,118.87,60.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Hymel; D. Sires,Water Level is below marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,8/30/16,Saline,Transect,Natural,80,2,80,,99.97,,106.68,76.2,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,D. McWhorter; A. Dufrene; W.P. Brown, Water Level is 0.8 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 10%. Flooded-Undetermined is 0%.
2017,8/21/17,Saline,Transect,Natural,80,10,75,,87.66,,97.53,67.05,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; S. Giles; W.P. Brown,approximately 10 ft from bay Water Level is 0.1 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 1%. Flooded-Undetermined is 0%.
2007,8/21/07,Saline,Transect,Natural,80,40,3,45,65.2,,152.4,36.6,33.5,Avicennia germinans (L.) L.,black mangrove,10,Both,,,,COASTAL ESTUARY SERVICES LLC,T. Nguyen; M. Estay,Bare Ground.; Water Level is Below Marsh
2016,8/30/16,Saline,Transect,Natural,80,75,5,,163.37,,161.54,91.44,,Avicennia germinans (L.) L.,black mangrove,5,Both,,,Shrub,COASTAL ESTUARY SERVICES LLC,D. McWhorter; A. Dufrene; W.P. Brown, Water Level is 0.4 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2009,7/20/09,Saline,Transect,Natural,80,,80,,48.95,,,42.67,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,B. Rhodes; E. Bourg; J. Dunn,Water Level is below marsh.
2007,8/21/07,Saline,Transect,Natural,80,,80,,74.4,,,64,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,T. Nguyen; M. Estay,pelican case in plot; Bare Ground.; Water Level is Below Marsh
2013,8/29/13,Saline,Transect,Natural,80,,80,,81.44,,,91.44,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,D. Sires; C. Hymel,Water Level is 0.4 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2008,8/20/08,Saline,Transect,Natural,80,,65,30,90.09,,,70.1,12.19,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Bernard; T. Nguyen,Bare Ground is unvegetated surface.
2015,7/9/15,Saline,Transect,Natural,80,,80,,73.27,,,73.15,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,T.V. Nguyen; B. Lussier; S.M. Higgins, Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 10%. Flooded-Undetermined is 0%.
2017,9/11/17,Saline,Transect,Natural,80,,80,,144.04,,,106.68,,Avicennia germinans (L.) L.,black mangrove,,Out,,,"tiny, immature",COASTAL ESTUARY SERVICES LLC,B. Lussier; S. Giles; M. McGaw, Water Level is 0.01 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 15%. Flooded-Undetermined is 0%.
2003,9/9/03,Saline,Transect,Planted,80,0,80,0,90,0,0,90,0,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDNO),J. Troutman; M. Hymel,"thick, healthy"
2004,9/9/04,Saline,Transect,Planted,80,,80,,60,,,60,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDNO),J. Troutman; M. Hymel; B. Carter,
2004,9/9/04,Saline,Transect,Planted,80,,80,,25,,,35,,Avicennia germinans (L.) L.,black mangrove,2,Both,,,,LA DEPT OF NAT RES (CRDNO),B. Carter; M. Hymel; J. Troutman,
2016,9/12/16,Saline,Transect,Natural,80,,80,,34.2,,,60,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,,COASTAL ESTUARY SERVICES LLC,L. Rodrigue; E. Lear; T. Hubbell; G. Curole,Reestablished Water Level is below marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2006,6/6/06,Saline,Transect,Natural,80,,80,,15,,,15,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),D. Lee; S. Khalil; B. Martin; B. Landry,Damp sand; not flooded (-1.5 ft)
2016,9/22/16,Saline,Transect,Natural,80,80,10,,87.2,,87.2,15,,Avicennia germinans (L.) L.,black mangrove,80,Both,,,,COASTAL ESTUARY SERVICES LLC,E. Lear; T. Hubbell; G. Curole,Black mangrove = Dominant ht. & = Shrub ht. Water Level is below marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,8/8/13,Saline,Transect,Natural,76,25,71,,93.26,,152.4,91.44,,Avicennia germinans (L.) L.,black mangrove,75,Both,,,25 PERCENT SHRUB,COASTAL ESTUARY SERVICES LLC,A. Hafkesbring; D. Wheat,No PW; sipper malfunction Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 24%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2015,8/31/15,Saline,Transect,Natural,75,,75,,103.02,,,94.48,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; Z. Moore; T. Siemens, Water Level is 0.45 ft above marsh. Open water is 15%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2012,7/31/12,Saline,Transect,Natural,75,,75,,78.02,,,64,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; D. Plaisance; K. Williams,Water Level is 0.46 ft above marsh. Open water is 0%. Bare ground is 25%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2012,7/31/12,Saline,Transect,Natural,75,15,65,,104.85,,121.92,94.48,,Avicennia germinans (L.) L.,black mangrove,15,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; D. Plaisance; K. Williams,Water Level is 0.68 ft above marsh. Open water is 0%. Bare ground is 25%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2006,10/10/06,Saline,Transect,Natural,75,,75,,112.6,,,112.6,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,BIOLOGICAL MONITORING SECTION (NO),W. Boshart; M. Hymel,Water relative to marsh = < 0 feet
2012,7/31/12,Saline,Transect,Natural,75,2,75,,76.8,,30.48,67.05,,Avicennia germinans (L.) L.,black mangrove,2,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; D. Plaisance; K. Williams,Water Level is 0.5 ft above marsh. Open water is 0%. Bare ground is 25%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,8/27/13,Saline,Transect,Natural,75,,75,,113.38,,,91.44,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; A. Kattenbraker; K. Fogg,Water Level is 0.36 ft above marsh. Open water is 0%. Bare ground is 25%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2015,8/11/15,Saline,Transect,Natural,75,,75,,51.14,,,54.86,,Avicennia germinans (L.) L.,black mangrove,3,Both,,,,COASTAL ESTUARY SERVICES LLC,K.B. Duhon; B. Lussier; A. Hingle,Brown marsh near plot; 10% wrack Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 25%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2009,7/16/09,Saline,Transect,Natural,75,,75,,61.56,,,60.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,J. Smith; A. Dufrene; J. Viola,Water Level is below marsh.
2013,8/8/13,Saline,Transect,Natural,75,,75,,90.03,,,60.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,P. Vining; A. Dufrene; B. Miller,Water Level is below marsh. Open water is 0%. Bare ground is 25%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2009,7/16/09,Saline,Transect,Natural,75,,75,,67.05,,,60.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,J. Smith; A. Dufrene; J. Viola,Water Level is below marsh.
2015,8/11/15,Saline,Transect,Natural,75,,75,,71.81,,,60.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K.B. Duhon; B. Lussier; A. Hingle,3% wrack Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 25%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,9/2/16,Saline,Transect,Natural,75,,75,,93.26,,,73.15,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,D.J. Sires; B. Lussier; M. McGaw, Water Level is 0.9 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2012,8/3/12,Saline,Transect,Natural,75,,75,,61.99,,,48.76,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; B. Lussier,Water Level is below marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 10%. Flooded-Undetermined is 0%.
2016,9/2/16,Saline,Transect,Natural,75,,75,,92.23,,,79.24,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,D.J. Sires; B. Lussier; M. McGaw, Water Level is 1.1 ft above marsh. Open water is 0%. Bare ground is 20%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2011,8/4/11,Saline,Transect,Natural,75,,75,,96.86,,,67.05,,Avicennia germinans (L.) L.,black mangrove,2,Both,,,,COASTAL ESTUARY SERVICES LLC,C. Hymel; T. Nguyen,Water Level is below marsh.
2009,7/16/09,Saline,Transect,Natural,75,20,65,,92.04,,121.92,91.44,,Avicennia germinans (L.) L.,black mangrove,50,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Viola; A. Dufrene; J. Smith,Some Avicennia germinans in shrub category and some in herbaceous category. Water Level is below marsh.
2014,8/7/14,Saline,Transect,Natural,75,60,25,,128.93,,115.82,60.96,,Avicennia germinans (L.) L.,black mangrove,75,Both,,,60% Shrub; 15% Herbaceous,COASTAL ESTUARY SERVICES LLC,A. Hafkesbring; C. Hymel,Water Level is below marsh. Open water is 0%. Bare ground is 25%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
